POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,6,12,3.0299999999999976,16,2,4,10
14,6,13,3.030000000000001,18,2,9,7
14,6,14,-4.719999999999999,4,0,4,0
14,6,15,0.33999999999999986,8,0,8,0
14,6,16,-0.6699999999999982,4,0,4,0
14,6,17,0.6799999999999997,7,2,4,1
14,6,18,0.3400000000000034,6,1,3,2
14,6,19,0.0,11,2,5,4
14,6,20,-0.6799999999999997,7,1,5,1
14,6,21,4.039999999999999,21,3,8,10
14,6,22,-0.6799999999999997,6,0,6,0
14,6,23,1.009999999999998,19,3,6,10
14,6,24,1.3499999999999979,13,2,7,4
14,6,25,0.33999999999999986,7,1,5,1
14,6,26,-0.6799999999999997,6,0,6,0
14,6,27,-0.6799999999999997,1,0,1,0
14,6,28,-3.370000000000001,9,0,3,6
14,6,29,-2.360000000000003,10,0,4,6
14,6,30,1.009999999999998,13,2,7,4
14,6,31,0.33999999999999986,8,0,7,1
14,6,32,0.6699999999999982,9,1,7,1
14,6,33,1.3499999999999979,10,0,10,0
14,6,34,0.6699999999999982,9,1,8,0
14,6,35,4.710000000000004,18,3,5,10
14,6,36,0.0,9,1,5,3
14,6,37,3.6999999999999993,16,2,11,3
14,6,38,0.6700000000000017,7,2,4,1
14,6,39,1.0100000000000016,7,0,7,0
14,6,40,1.3499999999999979,9,0,9,0
14,6,41,1.009999999999998,8,0,8,0
14,6,42,-0.6699999999999982,2,0,2,0
14,6,43,0.6799999999999997,10,2,7,1
14,6,44,0.6699999999999982,7,1,4,2
14,6,45,0.6700000000000017,8,2,5,1
14,6,46,0.0,8,1,6,1
14,6,47,-0.33999999999999986,7,1,5,1
14,6,48,0.33999999999999986,12,2,6,4
14,6,49,0.33999999999999986,7,0,7,0
14,6,50,1.0100000000000016,9,2,6,1
14,7,1,3.360000000000003,13,3,4,6
14,7,2,4.710000000000001,15,4,2,9
14,7,3,3.030000000000001,12,3,3,6
14,7,4,2.6900000000000013,11,2,0,9
14,7,5,2.0199999999999996,11,3,4,4
14,7,6,2.020000000000003,12,3,5,4
14,7,7,0.33999999999999986,8,0,8,0
14,7,8,1.6900000000000013,9,2,1,6
14,7,9,1.3500000000000014,9,1,6,2
14,7,10,0.33999999999999986,7,2,1,4
14,7,11,4.709999999999997,16,2,6,8
14,7,12,4.369999999999997,24,2,7,15
14,7,13,4.370000000000001,19,2,8,9
14,7,14,-1.6900000000000013,8,0,8,0
14,7,15,0.0,5,0,5,0
14,7,16,-0.3299999999999983,4,0,4,0
14,7,17,0.0,6,2,3,1
14,7,18,-0.6700000000000017,6,1,3,2
14,7,19,0.6700000000000017,18,3,7,8
14,7,20,-2.6999999999999993,3,1,1,1
14,7,21,-0.6799999999999997,6,0,6,0
14,7,22,-1.3499999999999979,4,0,4,0
14,7,23,-2.3599999999999994,4,0,4,0
14,7,24,2.0199999999999996,22,3,10,9
14,7,25,0.0,6,1,4,1
14,7,26,-0.6799999999999997,4,0,4,0
14,7,27,0.3299999999999983,8,2,6,0
14,7,28,-2.0199999999999996,8,0,6,2
14,7,29,-1.0100000000000016,9,0,7,2
14,7,30,2.0199999999999996,22,3,10,9
14,7,31,0.0,6,0,5,1
14,7,32,-0.33999999999999986,7,2,4,1
14,7,33,0.6799999999999997,7,0,7,0
14,7,34,0.33999999999999986,6,2,4,0
14,7,35,-0.33999999999999986,4,0,4,0
14,7,36,0.6699999999999982,7,1,4,2
14,7,37,5.720000000000002,21,2,11,8
14,7,38,0.33999999999999986,6,2,3,1
14,7,39,-0.33999999999999986,6,0,6,0
14,7,40,0.6699999999999982,7,0,7,0
14,7,41,-0.33999999999999986,5,0,5,0
14,7,42,-1.009999999999998,4,1,3,0
14,7,43,0.33999999999999986,6,2,3,1
14,7,44,-0.33999999999999986,7,1,3,3
14,7,45,0.0,7,2,4,1
14,7,46,0.0,6,1,4,1
14,7,47,-2.0199999999999996,3,1,1,1
14,7,48,2.0199999999999996,22,3,10,9
14,7,49,0.33999999999999986,10,0,10,0
14,7,50,0.33000000000000185,7,2,4,1
14,8,1,4.710000000000001,15,3,3,9
14,8,2,5.719999999999999,17,4,1,12
14,8,3,4.040000000000003,14,3,2,9
14,8,4,6.73,24,5,0,19
14,8,5,1.3499999999999979,12,3,5,4
14,8,6,6.400000000000002,26,6,7,13
14,8,7,4.040000000000003,20,3,3,14
14,8,8,-1.6799999999999997,2,0,2,0
14,8,9,0.33999999999999986,9,1,3,5
14,8,10,1.009999999999998,9,2,3,4
14,8,11,4.709999999999997,17,2,4,11
14,8,12,2.6899999999999977,19,2,2,15
14,8,13,4.370000000000001,19,2,6,11
14,8,14,-3.030000000000001,1,0,1,0
14,8,15,0.6799999999999997,8,0,8,0
14,8,16,0.0,4,0,4,0
14,8,17,0.33999999999999986,6,2,3,1
14,8,18,1.0100000000000051,9,1,5,3
14,8,19,0.6700000000000017,15,2,5,8
14,8,20,-1.3499999999999979,5,1,3,1
14,8,21,3.6999999999999993,17,3,5,9
14,8,22,0.0,6,0,6,0
14,8,23,3.0299999999999976,17,3,5,9
14,8,24,3.0299999999999976,19,2,8,9
14,8,25,0.33999999999999986,7,1,5,1
14,8,26,0.0,6,0,6,0
14,8,27,0.3299999999999983,6,2,4,0
14,8,28,-2.3599999999999994,6,0,0,6
14,8,29,-1.3500000000000014,8,0,2,6
14,8,30,2.6999999999999993,18,2,7,9
14,8,31,0.0,7,0,6,1
14,8,32,-0.33999999999999986,7,1,5,1
14,8,33,1.009999999999998,7,0,7,0
14,8,34,1.009999999999998,10,1,9,0
14,8,35,4.379999999999999,15,3,3,9
14,8,36,1.009999999999998,10,1,4,5
14,8,37,4.380000000000003,17,2,7,8
